SOORT HO,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,address,location,latitude,longitude
hbo,Friesland,30156,31FR,NHL Stenden Hogeschool,Rengerslaan,10,8917 DD,LEEUWARDEN,80.0,LEEUWARDEN,Overige,582512345.0,www.nhl.nl,Postbus,1080.0,8900 CB,LEEUWARDEN,10.0,Leeuwarden,4.0,Fryslân,4.0,Friesland-Noord,4.0,Noord-Friesland,3.0,Friesland,4.0,Friesland Noord,"{'street': 'Rengerslaan', 'postalcode': '8917 DD', 'city': 'LEEUWARDEN', 'country': 'Netherlands'}","Rengerslaan, Leeuwarden, Fryslân, Nederland, 8917 JA, Nederland",53.2094711,5.7951263
hbo,Gelderland,40235,25BA,Christelijke Hogeschool Ede,Oude Kerkweg,100,6717 JS,EDE,228.0,EDE,Protestants-Christelijk,318696300.0,www.che.nl,Postbus,80.0,6710 BB,EDE,29.0,Ede,10.0,De Vallei,16.0,Eem en Vallei,13.0,Veluwe,9.0,Arnhem en omstreken,16.0,Eem en Vallei,"{'street': 'Oude Kerkweg', 'postalcode': '6717 JS', 'city': 'EDE', 'country': 'Netherlands'}","Oude Kerkweg, Tuindorp Vooruit, Ede-Zuid, Ede, Gelderland, Nederland, 6717 JR, Nederland",52.0220781,5.6636699
hbo,Gelderland,40687,30TX,Aeres Hogeschool,Bovenbuurtweg,27,6717 XA,EDE,228.0,EDE,Overige,880207000.0,www.aereshogeschool.nl,Postbus,245.0,6710 BE,EDE,29.0,Ede,10.0,De Vallei,16.0,Eem en Vallei,13.0,Veluwe,9.0,Arnhem en omstreken,16.0,Eem en Vallei,"{'street': 'Bovenbuurtweg', 'postalcode': '6717 XA', 'city': 'EDE', 'country': 'Netherlands'}","Bovenbuurtweg, Maandereng, Ede, Gelderland, Nederland, 6717 XB, Nederland",52.0186975,5.6615776
hbo,Gelderland,41292,27NF,ArtEZ,Onderlangs,9,6812 CE,ARNHEM,202.0,ARNHEM,Algemeen bijzonder,263535600.0,www.artez.nl,Postbus,49.0,6800 AA,ARNHEM,26.0,Arnhem,11.0,IJssel en Rijn,14.0,Arnhem/Nijmegen,15.0,Arnhem/Nijmegen,9.0,Arnhem en omstreken,41.0,Arnhem,"{'street': 'Onderlangs', 'postalcode': '6812 CE', 'city': 'ARNHEM', 'country': 'Netherlands'}","Onderlangs, Utrechtsestraat, Arnhem, Gelderland, Nederland, 6812 AA, Nederland",51.9842374,5.8879692
hbo,Gelderland,41344,30HD,Hogeschool Van Hall Larenstein,Larensteinselaan,26-A,6882 CT,VELP,275.0,RHEDEN,Algemeen bijzonder,263695695.0,www.vanhall-larenstein.nl,Postbus,9001.0,6880 GB,VELP,26.0,Arnhem,11.0,IJssel en Rijn,14.0,Arnhem/Nijmegen,15.0,Arnhem/Nijmegen,9.0,Arnhem en omstreken,41.0,Arnhem,"{'street': 'Larensteinselaan', 'postalcode': '6882 CT', 'city': 'VELP', 'country': 'Netherlands'}","Larensteinselaan, Velp, Rheden, Gelderland, Nederland, 6882 CX, Nederland",51.98921,5.96229
hbo,Gelderland,41618,09OT,Iselinge Hogeschool,Bachlaan,11,7002 MZ,DOETINCHEM,222.0,DOETINCHEM,Samenwerking Opb.,,,,,,,,,,,,,,,,,,,"{'street': 'Bachlaan', 'postalcode': '7002 MZ', 'city': 'DOETINCHEM', 'country': 'Netherlands'}","Bachlaan, Muziekbuurt, Overstegen, Doetinchem, Gelderland, Nederland, 7002 MZ, Nederland",51.9670652,6.3032136
hbo,Gelderland,72243,25KB,Hogeschool van Arnhem en Nijmegen,Ruitenberglaan,31,6826 CC,ARNHEM,202.0,ARNHEM,Algemeen bijzonder,263691555.0,www.han.nl/,Postbus,5375.0,6802 EJ,ARNHEM,26.0,Arnhem,11.0,IJssel en Rijn,14.0,Arnhem/Nijmegen,15.0,Arnhem/Nijmegen,9.0,Arnhem en omstreken,41.0,Arnhem,"{'street': 'Ruitenberglaan', 'postalcode': '6826 CC', 'city': 'ARNHEM', 'country': 'Netherlands'}","Ruitenberglaan, Winkelcentrum, Arnhem, Gelderland, Nederland, 6826 CC, Nederland",51.9881155,5.9497071
hbo,Groningen,40169,25BE,Hanzehogeschool Groningen,Zernikeplein,1,9747 AS,GRONINGEN,14.0,GRONINGEN,Algemeen bijzonder,505955610.0,www.hanze.nl/,Postbus,30030.0,9700 RM,GRONINGEN,1.0,Groningen,3.0,Centraal-Groningen,3.0,Centraal en westelijk Groningen,3.0,Overig Groningen,1.0,Groningen en omstreken,3.0,Centraal en Westelijk Groningen,"{'street': 'Zernikeplein', 'postalcode': '9747 AS', 'city': 'GRONINGEN', 'country': 'Netherlands'}","Zernikeplein, Zernike Campus, West, Groningen, Nederland",53.2402505,6.531875956005221
hbo,Limburg,41128,25JX,Zuyd Hogeschool,Nieuw-Eyckholt,300,6419 DJ,HEERLEN,917.0,HEERLEN,Algemeen bijzonder,454006060.0,www.hszuyd.nl/,Postbus,550.0,6400 AN,HEERLEN,79.0,Heerlen,33.0,Parkstad Limburg,41.0,Oostelijk Zuid-Limburg,39.0,Zuid-Limburg,25.0,Zuid-Limburg,39.0,Gewest Zuid-Limburg,"{'street': 'Nieuw-Eyckholt', 'postalcode': '6419 DJ', 'city': 'HEERLEN', 'country': 'Netherlands'}","Nieuw-Eyckholt, Heerlen, Limburg, Nederland, 6419 DJ, Nederland",50.8820235,5.9601642
hbo,Noord-Brabant,30183,07GR,Avans Hogeschool,Prof Cobbenhagenlaan,13,5037 DA,TILBURG,855.0,TILBURG,Rooms-Katholiek,135958100.0,www.avans.nl,Postbus,90116.0,4800 RA,BREDA,68.0,Tilburg,26.0,Midden-Brabant,35.0,Midden-Brabant,34.0,Midden-Noord-Brabant,21.0,Tilburg en omstreken,35.0,Midden-Brabant,"{'street': 'Prof Cobbenhagenlaan', 'postalcode': '5037 DA', 'city': 'TILBURG', 'country': 'Netherlands'}","Professor Cobbenhagenlaan, De Reit, West, Tilburg, Noord-Brabant, Nederland, 5037 DC, Nederland",51.5608829,5.0600057
hbo,Noord-Brabant,30332,21UI,Breda University of Applied Sciences,Mgr. Hopmansstraat,2,4817 JS,BREDA,758.0,BREDA,Algemeen bijzonder,765332203.0,www.buas.nl,Postbus,3917.0,4800 DX,BREDA,66.0,Breda,25.0,West-Brabant,34.0,West-Brabant,33.0,West-Noord-Brabant,20.0,West-Noord-Brabant,34.0,West-Brabant,"{'street': 'Mgr. Hopmansstraat', 'postalcode': '4817 JS', 'city': 'BREDA', 'country': 'Netherlands'}","Monseigneur Hopmansstraat, Breda, Noord-Brabant, Nederland, 4817 JT, Nederland",51.5889427,4.7950765
hbo,Noord-Brabant,40205,21CW,HAS green academy,Onderwijsboulevard,221,5223 DE,'S-HERTOGENBOSCH,796.0,S HERTOGENBOSCH,Rooms-Katholiek,888903600.0,www.has.nl,Postbus,90108.0,5200 MA,'S-HERTOGENBOSCH,69.0,'s-Hertogenbosch,27.0,Noordoost-Brabant,36.0,Noordoost-Brabant,35.0,Noordoost-Noord-Brabant,12.0,Noord-Noord-Brabant,36.0,Noord-Oost-Brabant,"{'street': 'Onderwijsboulevard', 'postalcode': '5223 DE', 'city': ""'S-HERTOGENBOSCH"", 'country': 'Netherlands'}","Onderwijsboulevard, Paleiskwartier, West, 's-Hertogenbosch, Noord-Brabant, Nederland, 5223 DE, Nederland",51.6893423,5.2877523
hbo,Noord-Brabant,40555,30GB,Fontys Hogeschool,Rachelsmolen,1,5612 MA,EINDHOVEN,772.0,EINDHOVEN,Overige,877873677.0,www.fontys.nl,Postbus,347.0,5600 AH,EINDHOVEN,70.0,Eindhoven,28.0,Zuidoost-Brabant,37.0,Zuidoost-Brabant,36.0,Zuidoost-Noord-Brabant,22.0,Zuidoost-Noord-Brabant,37.0,Zuidoost-Brabant,"{'street': 'Rachelsmolen', 'postalcode': '5612 MA', 'city': 'EINDHOVEN', 'country': 'Netherlands'}","Rachelsmolen, Woenselse Watermolen, Woensel-Zuid, Eindhoven, Noord-Brabant, Nederland, 5612 MB, Nederland",51.4508372,5.4807096
